data;A0(x^2);A1(x);A2(x^0);erro;previsao;casos novos;erro relativo
2022-01-01;-3.6932;84.6233;9263.4625;83.8403;9337.6454;0;2.2031
2022-01-02;-3.8174;83.3030;9300.6844;80.8548;9285.7177;0;2.9300
2022-01-03;-3.6598;76.2184;9357.2676;84.4674;9262.7528;0;3.3116
2022-01-04;-3.1746;62.6186;9435.0999;93.0461;9276.2190;1;3.3727
2022-01-05;-2.3785;42.7757;9533.4986;100.2223;9323.3578;1;2.9424
2022-01-06;-1.2523;16.3647;9653.3614;98.6729;9407.2591;1;2.9879
2022-01-07;0.1629;-15.9992;9793.4845;72.4405;9520.3684;336;2.2750
2022-01-08;0.8599;-28.2843;9819.3281;75.6106;9613.2477;8;1.7251
2022-01-09;1.5386;-39.4591;9838.3151;75.6180;9714.8994;0;1.3315
2022-01-10;2.1655;-49.0779;9850.7295;72.0598;9819.1266;0;0.8069
2022-01-11;2.7745;-57.5584;9857.2626;66.2204;9933.8254;0;0.5424
2022-01-12;3.2838;-63.4928;9854.4760;58.3300;10046.9917;12;1.5869
2022-01-13;3.7144;-66.7291;9839.1355;51.5359;10168.8537;2;1.2061
2022-01-14;4.4028;-72.5272;9824.6053;50.4760;10359.9567;13;0.6716
2022-01-15;4.7525;-70.8637;9785.1237;48.6024;10526.3494;0;0.9141
2022-01-16;4.9180;-64.4163;9729.5093;48.7596;10692.6737;0;0.5139
2022-01-17;4.4460;-46.0636;9642.0198;51.0448;10780.4711;0;0.4049
2022-01-18;3.9761;-25.9251;9546.2372;37.9723;10900.2982;3;1.1722
2022-01-19;4.0984;-21.3164;9542.3416;36.1755;11056.9835;6;1.8795
2022-01-20;3.8734;-10.8030;9528.3326;42.1788;11165.3907;9;2.8500
2022-01-21;3.4813;2.5612;9511.9927;50.4644;11253.2838;4;3.1938
2022-01-22;2.7632;20.8041;9491.3732;66.0307;11286.4386;24;3.1573
2022-01-23;1.8864;41.4635;9469.4658;76.0887;11294.6662;5;1.9834
2022-01-24;0.9387;62.3103;9456.8453;82.0521;11282.0055;18;1.8415
2022-01-25;0.2338;78.4903;9463.2400;77.7678;11303.1841;14;1.3829
2022-01-26;-0.5909;95.3458;9478.7307;73.5876;11290.3300;20;0.9417
2022-01-27;-1.2484;108.1184;9514.6194;66.2409;11289.0046;6;0.2932
2022-01-28;-1.7319;115.9529;9577.5404;61.6151;11290.2812;91;0.0291
2022-01-29;-2.1606;122.8645;9641.2597;52.6836;11298.5349;45;0.2865
2022-01-30;-2.4873;126.7559;9720.5680;45.5607;11305.3251;40;0.4112
2022-01-31;-2.5899;125.3006;9822.8995;43.6314;11326.0011;64;0.4045
2022-02-01;-2.5640;120.4514;9939.5658;43.8915;11348.5213;53;0.6868
2022-02-02;-2.3164;110.2296;10078.0903;42.7012;11381.9967;89;0.4896
2022-02-03;-1.8207;95.1175;10229.9848;35.5232;11441.3606;221;0.0667
2022-02-04;-1.7038;89.0130;10333.5754;35.0956;11467.2383;84;0.1593
2022-02-05;-1.5582;82.0831;10438.0339;33.3760;11489.6710;137;0.3027
2022-02-06;-1.6003;79.3605;10519.5308;33.6475;11490.9176;1;0.2086
2022-02-07;-1.3391;69.3418;10632.7832;24.7884;11510.1769;207;0.3240
2022-02-08;-1.4474;68.4963;10695.5167;25.3084;11501.8876;99;0.1819
2022-02-09;-1.6673;70.2971;10742.6019;22.7758;11482.1855;37;0.0767
2022-02-10;-1.7926;69.8841;10797.5263;21.1281;11467.3671;79;0.2751
